feature
Age (yrs)
Weight (Kg)
BMI
Cycle length(days)
FSH(mIU/mL)
Follicle No. (L)
Follicle No. (R)
Avg. F size (L) (mm)
Cycle(R/I)_2
Cycle(R/I)_4
Weight gain(Y/N)_0
Weight gain(Y/N)_1
hair growth(Y/N)_0
hair growth(Y/N)_1
Skin darkening (Y/N)_0
Skin darkening (Y/N)_1
Pimples(Y/N)_0
Pimples(Y/N)_1
Fast food (Y/N)_0.0
Fast food (Y/N)_1.0
